case_id,category,expected_clarify,guard_clarify,correct,missing_slots,reason
qsi_001,trend_following,False,False,True,,
qsi_002,trend_following,False,False,True,,
qsi_003,trend_following,False,False,True,,
qsi_004,trend_following,False,False,True,,
qsi_005,trend_following,False,False,True,,
qsi_006,trend_following,False,False,True,,
qsi_007,trend_following,False,False,True,,
qsi_008,trend_following,False,False,True,,
qsi_009,trend_following,False,False,True,,
qsi_010,trend_following,False,False,True,,
qsi_011,trend_following,False,False,True,,
qsi_012,trend_following,False,False,True,,
qsi_013,trend_following,False,False,True,,
qsi_014,trend_following,False,False,True,,
qsi_015,trend_following,False,False,True,,
qsi_016,mean_reversion,False,False,True,,
qsi_017,mean_reversion,False,False,True,,
qsi_018,mean_reversion,False,False,True,,
qsi_019,mean_reversion,False,False,True,,
qsi_020,mean_reversion,False,False,True,,
qsi_021,mean_reversion,False,False,True,,
qsi_022,mean_reversion,False,False,True,,
qsi_023,mean_reversion,False,False,True,,
qsi_024,mean_reversion,False,False,True,,
qsi_025,mean_reversion,False,False,True,,
qsi_026,mean_reversion,False,False,True,,
qsi_027,mean_reversion,False,False,True,,
qsi_028,mean_reversion,False,False,True,,
qsi_029,mean_reversion,False,False,True,,
qsi_030,mean_reversion,False,False,True,,
qsi_031,momentum,False,False,True,,
qsi_032,momentum,False,False,True,,
qsi_033,momentum,False,False,True,,
qsi_034,momentum,False,False,True,,
qsi_035,momentum,False,False,True,,
qsi_036,momentum,False,False,True,,
qsi_037,momentum,False,False,True,,
qsi_038,momentum,False,False,True,,
qsi_039,momentum,False,False,True,,
qsi_040,momentum,False,False,True,,
qsi_041,risk_constrained,False,False,True,,
qsi_042,risk_constrained,False,False,True,,
qsi_043,risk_constrained,False,False,True,,
qsi_044,risk_constrained,False,False,True,,
qsi_045,risk_constrained,False,False,True,,
qsi_046,risk_constrained,False,False,True,,
qsi_047,risk_constrained,False,False,True,,
qsi_048,risk_constrained,False,False,True,,
qsi_049,risk_constrained,False,False,True,,
qsi_050,risk_constrained,False,False,True,,
qsi_051,risk_constrained,False,False,True,,
qsi_052,risk_constrained,False,False,True,,
qsi_053,risk_constrained,False,False,True,,
qsi_054,risk_constrained,False,False,True,,
qsi_055,risk_constrained,False,False,True,,
qsi_056,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_057,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_058,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_059,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_060,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_061,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_062,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_063,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_064,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_065,ambiguous_intent,True,True,True,"strategy_family,indicator_or_signal,entry_logic,exit_logic,risk_constraints",vague intent lacks concrete strategy rules
qsi_066,unsafe_request,False,False,True,,
qsi_067,unsafe_request,False,False,True,,
qsi_068,unsafe_request,False,False,True,,
qsi_069,unsafe_request,False,False,True,,
qsi_070,unsafe_request,False,False,True,,
qsi_071,unsafe_request,False,False,True,,
qsi_072,unsafe_request,False,False,True,,
qsi_073,unsafe_request,False,False,True,,
qsi_074,unsafe_request,False,False,True,,
qsi_075,unsafe_request,False,False,True,,
qsi_076,unsafe_request,False,False,True,,
qsi_077,unsafe_request,False,False,True,,
qsi_078,unsafe_request,False,False,True,,
qsi_079,unsafe_request,False,False,True,,
qsi_080,unsafe_request,False,False,True,,
