case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,end_to_end_success,errors
qsi_001,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_002,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_003,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_004,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_005,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_006,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_007,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_008,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_009,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_010,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_011,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_012,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_013,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_014,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_015,trend_following,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_016,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_017,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_018,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_019,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_020,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_021,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_022,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_023,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_024,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_025,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_026,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_027,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_028,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_029,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_030,mean_reversion,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_031,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_032,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_033,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_034,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_035,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_036,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_037,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_038,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_039,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_040,momentum,direct_code,False,False,False,True,True,True,False,False,False,True,True,
qsi_041,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_042,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_043,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_044,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_045,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_046,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
qsi_047,risk_constrained,direct_code,False,False,False,False,True,False,True,False,False,True,False,direct code lacks QYIR verification
