case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,end_to_end_success,errors
qsi_001,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_002,trend_following,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_003,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_004,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_005,trend_following,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_006,trend_following,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_007,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_008,trend_following,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_009,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_010,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_011,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_012,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_013,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_014,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_015,trend_following,qsga_full,False,False,True,True,True,True,True,False,False,True,False,
qsi_016,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_017,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_018,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_019,mean_reversion,qsga_full,False,False,True,False,True,True,False,False,False,True,False,
qsi_020,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_021,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_022,mean_reversion,qsga_full,False,False,True,False,True,True,False,False,False,True,False,
qsi_023,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_024,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_025,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_026,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_027,mean_reversion,qsga_full,False,False,True,True,True,True,False,False,False,True,True,
qsi_028,mean_reversion,qsga_full,False,False,True,False,True,True,False,False,False,True,False,
