case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,end_to_end_success,errors
qsi_051,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,True,False,False,True,False,
qsi_052,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_053,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_054,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,True,True,True,False,False,False,True,True,
qsi_055,risk_constrained,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_056,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_057,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_058,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_059,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
qsi_060,ambiguous_intent,live_direct_code::qwen3.6-flash,False,False,False,False,True,True,False,False,False,True,False,
