case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors
qsi_001,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_002,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_003,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_004,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_005,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_006,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,True,False,False,True,False,False,False,
qsi_007,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_008,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_009,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_010,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,False,True,False,False,False,False,True,False,False,False,runtime_error: NameError: name 'list' is not defined
qsi_011,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_012,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_013,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_014,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,False,True,False,True,False,False,True,False,False,False,signal_error: no position change
qsi_015,trend_following,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_016,mean_reversion,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,True,True,True,False,False,False,True,False,False,True,
qsi_017,mean_reversion,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,False,True,True,False,False,False,True,False,False,False,
qsi_018,mean_reversion,live_direct_code_feedback_repair::deepseek-v4-flash+deepseek-v4-pro,False,False,False,False,True,False,True,False,False,True,False,False,False,signal_error: no position change
