case_id,category,method,should_reject,rejected,schema_valid,semantic_consistent,compile_success,backtest_success,risk_violation,repair_triggered,repair_success,safe_rejection_correct,clarification_requested,clarification_correct,end_to_end_success,errors,failure_type,failure_stage,failure_reason
qsi_001,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_001,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_002,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_002,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_003,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_003,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_004,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_004,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_005,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']",schema_failure,schema,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']"
qsi_005,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']",schema_failure,schema,"indicators.0: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']; indicators.1: Value error, MACD.output must be one of ['macd_line', 'signal_line', 'histogram']"
qsi_006,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_006,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_007,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_007,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_008,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_008,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_009,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_009,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_010,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_010,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,True,False,False,True,False,False,False,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,risk_violation,risk,backtest_metrics.max_drawdown: The backtest max drawdown exceeds 20.0%.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.
qsi_011,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_011,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"root: Value error, entry_rules[0].left references unknown alias 'close'",alias_failure,reference,"root: Value error, entry_rules[0].left references unknown alias 'close'"
qsi_012,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.num_trades: The backtest has too few trades for a reliable sample.; backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_012,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"exit_rules: List should have at least 1 item after validation, not 0",schema_failure,schema,"exit_rules: List should have at least 1 item after validation, not 0"
qsi_013,trend_following,live_raw_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_013,trend_following,live_qsga_qyir::qwen3.6-flash,False,False,True,True,True,True,False,False,False,True,False,False,True,backtest_metrics.sharpe_ratio: The strategy Sharpe ratio is low.,success,success,end_to_end_success=true
qsi_014,trend_following,live_raw_qyir::qwen3.6-flash,False,False,False,False,False,False,False,False,False,True,False,False,False,"indicators.0: Value error, BOLLINGER.output must be one of ['upper', 'middle', 'lower']",schema_failure,schema,"indicators.0: Value error, BOLLINGER.output must be one of ['upper', 'middle', 'lower']"
